"county","actual_cases","date"
"台北市",75,"2020-03-27"
"台中市",28,"2020-03-27"
"台南市",11,"2020-03-27"
"高雄市",19,"2020-03-27"
"基隆市",3,"2020-03-27"
"新竹市",6,"2020-03-27"
"嘉義市",3,"2020-03-27"
"新北市",63,"2020-03-27"
"桃園市",27,"2020-03-27"
"新竹縣",4,"2020-03-27"
"宜蘭縣",2,"2020-03-27"
"苗栗縣",3,"2020-03-27"
"彰化縣",12,"2020-03-27"
"南投縣",2,"2020-03-27"
"雲林縣",4,"2020-03-27"
"嘉義縣",0,"2020-03-27"
"屏東縣",5,"2020-03-27"
"澎湖縣",0,"2020-03-27"
"花蓮縣",0,"2020-03-27"
"台東縣",0,"2020-03-27"
"金門縣",0,"2020-03-27"
"連江縣",0,"2020-03-27"
