"county","actual_cases","date"
"台北市",84,"2020-03-30"
"台中市",33,"2020-03-30"
"台南市",13,"2020-03-30"
"高雄市",25,"2020-03-30"
"基隆市",3,"2020-03-30"
"新竹市",7,"2020-03-30"
"嘉義市",3,"2020-03-30"
"新北市",72,"2020-03-30"
"桃園市",31,"2020-03-30"
"新竹縣",4,"2020-03-30"
"宜蘭縣",2,"2020-03-30"
"苗栗縣",3,"2020-03-30"
"彰化縣",14,"2020-03-30"
"南投縣",2,"2020-03-30"
"雲林縣",4,"2020-03-30"
"嘉義縣",0,"2020-03-30"
"屏東縣",6,"2020-03-30"
"澎湖縣",0,"2020-03-30"
"花蓮縣",0,"2020-03-30"
"台東縣",0,"2020-03-30"
"金門縣",0,"2020-03-30"
"連江縣",0,"2020-03-30"
