"county","actual_cases","date"
"台北市",80,"2020-03-28"
"台中市",28,"2020-03-28"
"台南市",12,"2020-03-28"
"高雄市",22,"2020-03-28"
"基隆市",3,"2020-03-28"
"新竹市",6,"2020-03-28"
"嘉義市",3,"2020-03-28"
"新北市",67,"2020-03-28"
"桃園市",29,"2020-03-28"
"新竹縣",4,"2020-03-28"
"宜蘭縣",2,"2020-03-28"
"苗栗縣",3,"2020-03-28"
"彰化縣",13,"2020-03-28"
"南投縣",2,"2020-03-28"
"雲林縣",4,"2020-03-28"
"嘉義縣",0,"2020-03-28"
"屏東縣",5,"2020-03-28"
"澎湖縣",0,"2020-03-28"
"花蓮縣",0,"2020-03-28"
"台東縣",0,"2020-03-28"
"金門縣",0,"2020-03-28"
"連江縣",0,"2020-03-28"
