"county","actual_cases","date"
"台北市",91,"2020-03-31"
"台中市",33,"2020-03-31"
"台南市",13,"2020-03-31"
"高雄市",26,"2020-03-31"
"基隆市",3,"2020-03-31"
"新竹市",8,"2020-03-31"
"嘉義市",3,"2020-03-31"
"新北市",75,"2020-03-31"
"桃園市",32,"2020-03-31"
"新竹縣",5,"2020-03-31"
"宜蘭縣",2,"2020-03-31"
"苗栗縣",3,"2020-03-31"
"彰化縣",16,"2020-03-31"
"南投縣",2,"2020-03-31"
"雲林縣",4,"2020-03-31"
"嘉義縣",0,"2020-03-31"
"屏東縣",6,"2020-03-31"
"澎湖縣",0,"2020-03-31"
"花蓮縣",0,"2020-03-31"
"台東縣",0,"2020-03-31"
"金門縣",0,"2020-03-31"
"連江縣",0,"2020-03-31"
